iter	Passed	Remaining
407	6267	1413
408	6281	1397
409	6297	1382
410	6312	1366
411	6327	1351
412	6341	1335
413	6355	1320
414	6370	1304
415	6385	1289
416	6401	1274
417	6416	1258
418	6430	1243
419	6445	1227
420	6461	1212
421	6476	1197
422	6491	1181
423	6508	1166
424	6523	1151
425	6539	1136
426	6555	1120
427	6572	1105
428	6589	1090
429	6604	1075
430	6619	1059
431	6634	1044
432	6649	1028
433	6665	1013
434	6678	998
435	6692	982
436	6708	967
437	6724	951
438	6739	936
439	6754	921
440	6769	905
441	6785	890
442	6800	875
443	6816	859
444	6831	844
445	6846	828
446	6861	813
447	6877	798
448	6891	782
449	6906	767
450	6920	751
451	6934	736
452	6950	721
453	6966	705
454	6981	690
455	6999	675
456	7016	660
457	7032	644
458	7047	629
459	7064	614
460	7081	599
461	7097	583
462	7113	568
463	7129	553
464	7144	537
465	7159	522
466	7173	506
467	7188	491
468	7203	476
469	7216	460
470	7232	445
471	7245	429
472	7260	414
473	7274	399
474	7291	383
475	7307	368
476	7324	353
477	7339	337
478	7354	322
479	7369	307
480	7384	291
481	7400	276
482	7414	260
483	7430	245
484	7446	230
485	7461	214
486	7479	199
487	7494	184
488	7509	168
489	7525	153
490	7541	138
491	7557	122
492	7572	107
493	7587	92
494	7603	76
495	7620	61
496	7636	46
497	7659	30
498	7681	15
499	7698	0
